"ebi",6,14.71
"anago",3,15.94
"maguro",1,15
"ika",5,12.12
"uni",8,26.3
"tako",5,11.07
"ikura",7,21.56
"tamago",9,8.26
"toro",1,35.88
"amaebi",6,15.4
"hotategai",4,14.18
"tai",2,18.09
"akagai",4,26.66
"hamachi",0,13.38
"awabi",4,29.17
"samon",1,12.09
"kazunoko",7,19.01
"shako",6,14.85
"saba",0,11.86
"chu_toro",1,25.34
"hirame",2,24.55
"aji",0,16.65
"kani",6,16.3
"kohada",0,8.42
"torigai",4,17
"unagi",3,17.9
"tekka_maki",1,12.64
"kanpachi",0,19.69
"mirugai",4,19.83
"kappa_maki",11,8.16
"geso",5,8.15
"katsuo",1,11.72
"iwashi",0,10.73
"hokkigai",4,18.35
"shimaaji",0,21.51
"kanimiso",8,14.67
"engawa",2,16.07
"negi_toro",1,19.78
"nattou_maki",11,8
"sayori",0,14.56
"takuwan_maki",11,8.27
"botanebi",6,24.38
"tobiko",7,11.2
"inari",11,8
"mentaiko",7,11.97
"sarada",11,9.6
"suzuki",2,25.07
"tarabagani",6,27.32
"ume_shiso_maki",11,8.32
"komochi_konbu",7,17.33
"tarako",7,9.28
"sazae",4,11.57
"aoyagi",4,13.6
"toro_samon",1,20.98
"sanma",0,12.09
"hamo",2,12
"nasu",11,9.33
"shirauo",2,10.67
"nattou",11,10.33
"ankimo",8,14
"kanpyo_maki",11,8
"negi_toro_maki",1,18.9
"gyusashi",10,16.29
"hamaguri",4,16
"basashi",10,19.11
"fugu",2,18.67
"tsubugai",4,14.8
"ana_kyu_maki",3,12.67
"hiragai",4,20
"okura",11,8
"ume_maki",11,8
"sarada_maki",11,8
"mentaiko_maki",7,10
"buri",0,13
"shiso_maki",11,8
"ika_nattou",5,8.73
"zuke",1,17
"himo",4,8
"kaiware",11,9.2
"kurumaebi",6,25.6
"mekabu",11,8
"kue",2,24
"sawara",2,21.33
"sasami",10,8
"kujira",10,16
"kamo",10,12
"himo_kyu_maki",4,12
"tobiuo",0,12
"ishigakidai",2,16
"mamakari",0,16
"hoya",8,8
"battera",0,8
"kyabia",7,8
"karasumi",7,13.82
"uni_kurage",8,8
"karei",2,8
"hiramasa",0,8
"namako",8,12
"shishamo",0,8
"kaki",4,10
